code_module,code_presentation,enrollment_count,avg_studied_credits,avg_prev_attempts,avg_imd,disability_rate,distinction_rate,difficulty_rate,module_presentation_length,hist_avg_difficulty,hist_n_prior_cohorts,hist_last_difficulty,hist_avg_enrollment,is_difficult
AAA,2013J,383,87.44125326370757,0.0,59.83695652173913,0.06005221932114883,0.05221932114882506,0.2741514360313316,268,,0,,,0
AAA,2014J,365,81.28767123287672,0.11232876712328767,57.07282913165266,0.052054794520547946,0.06575342465753424,0.30684931506849317,269,0.2741514360313316,1,0.2741514360313316,383.0,0
BBB,2013B,1767,88.95019807583475,0.26032823995472554,42.33676975945017,0.1007357102433503,0.08771929824561403,0.545557441992077,240,,0,,,1
BBB,2013J,2237,83.1001341081806,0.20697362539114886,43.97343538946421,0.09924005364327224,0.07867679928475638,0.5207867679928475,268,0.545557441992077,1,0.545557441992077,1767.0,1
BBB,2014B,1613,85.70675759454433,0.24054556726596404,43.025,0.09423434593924365,0.10291382517048978,0.5492870427774333,234,0.5331721049924623,2,0.5207867679928475,2002.0,1
BBB,2014J,2292,80.11125654450262,0.156195462478185,43.148310662571305,0.08289703315881326,0.07853403141361257,0.4973821989528796,262,0.5385437509207859,3,0.5492870427774333,1872.3333333333333,0
CCC,2014B,1936,75.48553719008264,0.0,49.74288840262582,0.0893595041322314,0.09917355371900827,0.6575413223140496,241,,0,,,1
CCC,2014J,2498,79.03923138510808,0.09407526020816653,49.910714285714285,0.08286629303442754,0.12249799839871897,0.5936749399519615,269,0.6575413223140496,1,0.6575413223140496,1936.0,1
DDD,2013B,1303,85.61780506523408,0.28012279355333847,48.53462157809984,0.1128165771297007,0.04144282425172678,0.6085955487336915,240,,0,,,1
DDD,2013J,1938,86.80598555211559,0.19917440660474717,49.58557588805167,0.11867905056759546,0.05056759545923633,0.5722394220846233,261,0.6085955487336915,1,0.6085955487336915,1303.0,1
DDD,2014B,1228,84.82899022801303,0.30863192182410426,49.14529914529915,0.11807817589576547,0.09690553745928339,0.6099348534201955,241,0.5904174854091574,2,0.5722394220846233,1620.5,1
DDD,2014J,1803,88.46089850249584,0.23627287853577372,49.30313588850174,0.12146422628951747,0.06211869107043816,0.5607321131447587,262,0.5969232747461701,3,0.6099348534201955,1489.6666666666667,1
EEE,2013J,1052,64.32984790874525,0.0,51.36,0.058935361216730035,0.12072243346007605,0.4211026615969582,268,,0,,,0
EEE,2014B,694,60.85014409221902,0.0936599423631124,50.62130177514793,0.06051873198847262,0.1037463976945245,0.48559077809798273,241,0.4211026615969582,1,0.4211026615969582,1052.0,0
EEE,2014J,1188,69.09511784511784,0.07912457912457913,50.04820333041192,0.05387205387205387,0.13215488215488216,0.42424242424242425,269,0.45334671984747044,2,0.48559077809798273,873.0,0
FFF,2013B,1614,92.18401486988847,0.24349442379182157,47.77156023699803,0.08550185873605948,0.07311028500619579,0.5154894671623296,240,,0,,,0
FFF,2013J,2283,90.4029785370127,0.15637319316688567,46.74152153987168,0.08497590889180902,0.08190976784932107,0.5203679369250985,268,0.5154894671623296,1,0.5154894671623296,1614.0,0
FFF,2014B,1500,87.21666666666667,0.25,45.721288515406165,0.09933333333333333,0.07133333333333333,0.564,241,0.517928702043714,2,0.5203679369250985,1948.5,1
FFF,2014J,2365,92.65961945031712,0.1894291754756871,46.20917917034422,0.10739957716701903,0.10909090909090909,0.5276955602536998,269,0.533285801362476,3,0.564,1799.0,1
GGG,2013J,952,34.42226890756302,0.0,45.53740779768177,0.12394957983193278,0.148109243697479,0.37815126050420167,261,,0,,,0
GGG,2014B,833,35.47418967587035,0.06602641056422569,43.93975903614458,0.1368547418967587,0.15366146458583432,0.4261704681872749,241,0.37815126050420167,1,0.37815126050420167,952.0,0
GGG,2014J,749,33.37783711615487,0.042723631508678236,42.88770053475936,0.16555407209612816,0.16955941255006676,0.40720961281708945,269,0.4021608643457383,2,0.4261704681872749,892.5,0
